2026-07-30 21:43:14,745 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-30 21:43:15,616 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 21:43:17,498 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-30 22:15:23,311 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 22:15:25,159 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-30 22:15:26,347 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-30 22:15:26,354 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-30 22:15:27,300 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-30 22:15:28,572 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 22:15:28,678 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-30 22:15:45,541 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 22:15:46,406 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-30 22:15:47,510 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-30 22:15:48,707 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 22:15:48,750 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-30 23:41:14,008 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 23:41:14,565 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-30 23:41:15,086 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-30 23:41:15,089 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-30 23:41:15,409 | INFO    | pipeline | Requesting lighting profile from Groq for pexels-mikebirdy-810357.jpg
2026-07-30 23:41:16,417 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 23:41:16,455 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\pexels-mikebirdy-810357_scene.json
2026-07-30 23:41:24,017 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 23:41:24,551 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-30 23:41:24,925 | INFO    | pipeline | Requesting lighting profile from Groq for pexels-mikebirdy-810357.jpg
2026-07-30 23:41:26,042 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 23:41:26,062 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\pexels-mikebirdy-810357_scene.json
2026-07-31 12:19:18,074 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 12:19:18,791 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 12:19:19,317 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 12:19:19,320 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 12:19:19,660 | INFO    | pipeline | Requesting lighting profile from Groq for pexels-mikebirdy-810357.jpg
2026-07-31 12:19:20,669 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 12:19:20,696 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\pexels-mikebirdy-810357_scene.json
2026-07-31 12:19:28,030 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 12:19:28,543 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 12:19:28,935 | INFO    | pipeline | Requesting lighting profile from Groq for pexels-mikebirdy-810357.jpg
2026-07-31 12:19:30,017 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 12:19:30,046 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\pexels-mikebirdy-810357_scene.json
2026-07-31 12:38:03,944 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 12:38:04,765 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 12:38:05,200 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 12:38:05,204 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 12:38:05,399 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 12:38:06,335 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 12:38:06,461 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 12:38:15,823 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 12:38:16,516 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 12:38:16,779 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 12:38:17,461 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 12:38:17,494 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:46:36,120 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:46:36,899 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 14:46:40,269 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 14:46:40,272 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 14:46:40,468 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:46:41,428 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:46:41,477 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:46:54,263 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:46:55,064 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 14:46:55,573 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:46:56,684 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:46:56,726 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:52:00,558 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:52:01,447 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 14:52:02,794 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 14:52:02,797 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
